PI,Rep ,2019_Flowering,2020_Flowering ,2019D1,2019D2,2020D1,2020D2,2019_AV.Plant height,2020_AV.Plant height ,AV.AC_Aug14_2019,AV.AC_Aug_28_2019,AV.AC_Aug11-2020,AV.AC_Aug18-2020,AV.2019&2020D1,AV.2019&2020D2,AV.2019
595739,1,61,69,2,4,3,4,90,71.7,183,0,1000,1250,2.5,4,
595739,2,66,69,2,3,5,6,105,93.3,99,74,1333,1500,3.5,4.5,
595740,1,NA,NA,5,8,8,8,85,61.7,833,0,1000,525,6.5,8,
595740,2,NA,83,6,6,3,3,90,68.3,1500,58,191,1500,4.5,4.5,
595741,1,49,55,4,9,3,5,100,96.7,833,0,1000,1000,3.5,7,
595741,2,49,55,4,8,4,4,110,100,366,49,833,750,4,6,
595744,1,54,59,2,5,3,3,125,138.3,500,0,375,1500,2.5,4,
595744,2,59,50,3,5,5,5,105,133.3,516,0,383,750,4,5,
597945,1,52,NA,8,9,NA,NA,75,NA,666,0,NA,NA,8,9,
597945,2,54,NA,3,8,NA,NA,90,NA,833,0,NA,NA,3,8,
597949,1,59,62,2,7,4,7,105,91.7,366,0,1333,750,3,7,
597949,2,59,69,1,4,3,3,115,123.3,33,41,232,1500,2,3.5,
597952,1,56,57,3,5,7,8,70,50,33,8,1000,1000,5,6.5,
597952,2,54,62,4,7,3,5,75,63.3,1500,74,516,1500,3.5,6,
597957,1,54,55,4,7,4,6,90,68.3,1167,0,1500,1500,4,6.5,
597957,2,59,55,5,7,5,7,80,76.7,1500,99,833,1500,5,7,
597958,1,52,52,4,8,8,8,90,71.7,366,0,1000,1000,6,8,
597958,2,54,55,2,3,6,7,90,93.3,508,33,1167,299,4,5,
597961,1,59,NA,3,8,5,6,80,48.3,1166,0,1500,1500,4,7,
597961,2,56,69,3,6,4,4,80,63.3,1033,25,1333,1500,3.5,5,
597964,1,63,76,1,2,2,3,110,90,25,0,358,1000,1.5,2.5,
597964,2,61,69,1,2,3,3,110,100,25,25,199,262,2,2.5,
597965,1,52,50,2,6,7,8,105,100,166,0,1000,1000,4.5,7,
597965,2,49,62,4,8,3,6,105,86.7,1000,0,183,1500,3.5,7,
597966,1,56,62,2,7,4,8,75,77.5,1167,0,1166,1500,3,7.5,
597966,2,52,NA,5,7,NA,NA,80,NA,1500,58,NA,NA,5,7,
597968,1,54,55,3,8,4,8,120,110,499,0,500,250,3.5,8,
597968,2,56,NA,2,5,NA,NA,115,NA,216,17,NA,NA,2,5,
597971,1,49,50,3,7,3,5,95,95,74,166,50,1500,3,6,
597971,2,52,57,2,4,3,4,95,93.3,208,0,58,1500,2.5,4,
597973,1,52,NA,5,8,7,7,80,55,1333,33,1000,1500,6,7.5,
597973,2,54,59,4,6,8,8,80,76.7,1166,25,1000,750,6,7,
597980,1,49,48,4,8,8,8,90,86.7,1000,8,1167,1000,6,8,
597980,2,47,64,3,7,4,6,80,78.3,1008,50,1500,1500,3.5,6.5,
601816,1,63,71,2,6,3,4,170,136.7,1000,8,208,1500,2.5,5,
601816,2,66,64,2,4,5,6,185,156.7,549,1033,1000,1500,3.5,5,
607900,1,56,55,2,4,6,7,80,70,1333,191,1500,1250,4,5.5,
607900,2,59,69,2,9,4,4,85,68.3,1008,25,1167,299,3,6.5,
609456,1,NA,NA,4,5,5,7,300,81.7,1000,33,866,1500,4.5,6,
609456,2,NA,91,4,5,6,7,310,111.7,1167,0,666,1000,5,6,
613536,1,52,50,2,3,5,7,110,90,33,41,1500,1000,3.5,5,
613536,2,61,55,4,7,2,6,90,90,833,0,8,750,3,6.5,
629034,1,59,57,1,2,5,7,100,95,50,0,1500,1500,3,4.5,
629034,2,61,64,1,2,3,5,95,101.7,33,0,216,1000,2,3.5,
629040,1,56,62,2,5,3,5,100,91.7,232,74,1167,1000,2.5,5,
629040,2,59,76,2,5,4,5,100,73.3,208,8,1000,1500,3,5,
629059,1,61,59,4,5,4,5,85,85,1167,0,1333,1250,4,5,
629059,2,54,69,2,2,2,5,95,88.3,525,41,50,1500,2,3.5,
641824,1,63,59,1,4,5,6,220,173.3,25,0,1333,1000,3,5,
641824,2,63,62,3,5,5,6,155,151.7,833,0,1500,1500,4,5.5,
641874,1,59,55,3,9,5,7,250,216.7,1000,49,1333,1000,4,8,
641874,2,61,69,2,5,2,4,260,216.7,1167,66,341,299,2,4.5,
642791,1,56,62,4,7,6,7,95,71.7,833,0,1167,750,5,7,
642791,2,59,NA,4,4,6,8,100,60,1008,41,833,1000,5,6,
642992,1,56,52,4,8,3,7,95,98.3,700,8,1000,1000,3.5,7.5,
642992,2,56,59,2,6,3,5,105,100,183,17,358,1000,2.5,5.5,
644294,1,66,62,3,7,5,7,100,83.3,833,25,1333,99,4,7,
644294,2,59,52,3,5,5,6,120,93.3,683,183,1333,1000,4,5.5,
651492,1,NA,66,2,4,3,4,310,166.7,232,49,58,550,2.5,4,
651492,2,NA,91,2,3,2,4,305,170,366,175,58,750,2,3.5,
651496,1,77,NA,2,3,5,6,325,141.7,833,208,366,499,3.5,4.5,
651496,2,66,84,2,5,6,6,275,181.7,1500,216,1167,1000,4,5.5,
655970,1,52,52,4,8,6,6,130,111.7,1000,0,1500,1500,5,7,
655970,2,54,57,4,6,3,6,120,98.3,833,0,366,1250,3.5,6,
655971,1,47,52,5,7,8,9,75,70,666,0,166,0,6.5,8,
655971,2,52,55,4,7,4,5,75,62.5,1000,0,1000,750,4,6,
655973,1,42,50,4,6,6,8,155,115,666,0,1500,1500,5,7,
655973,2,42,57,7,9,4,6,168,145,1500,41,1500,750,5.5,7.5,
655974,1,61,64,2,5,4,5,150,121.7,1333,8,675,1250,3,5,
655974,2,59,59,1,3,7,7,140,135,341,33,1167,1000,4,5,
655975,1,52,48,2,3,7,8,80,83.3,666,8,1500,1250,4.5,5.5,
655975,2,47,50,2,6,5,6,85,83.3,232,41,866,1500,3.5,6,
655976,1,47,50,4,6,7,8,75,75,666,8,1500,1500,5.5,7,
655976,2,47,55,4,5,6,4,90,78.3,541,33,1500,1500,5,4.5,
655978,1,56,NA,3,7,NA,NA,95,NA,700,49,NA,NA,3,7,
655978,2,54,NA,3,6,NA,NA,105,NA,683,50,NA,NA,3,6,
655979,1,52,62,2,7,3,5,100,93.3,499,8,1167,1500,2.5,6,
655979,2,56,55,2,4,3,5,105,91.7,232,0,533,1250,2.5,4.5,
655982,1,59,57,1,4,5,7,85,113.3,25,8,1500,750,3,5.5,
655982,2,56,59,2,4,1,3,100,88.3,516,0,25,99,1.5,3.5,
655984,1,56,48,3,7,6,7,140,126.7,17,0,1500,1000,4.5,7,
655984,2,52,57,3,6,5,5,125,103.3,1016,0,1000,1000,4,5.5,
655985,1,52,55,2,3,6,7,85,71.7,50,17,1333,1250,4,5,
655985,2,52,48,3,8,3,4,95,88.3,383,8,350,499,3,6,
655986,1,54,48,4,7,7,8,100,85,1167,8,1167,1500,5.5,7.5,
655986,2,54,55,5,8,4,6,95,95,1166,8,1166,1250,4.5,7,
655987,1,47,50,3,8,6,7,105,108.3,666,0,1500,1250,4.5,7.5,
655987,2,52,50,4,6,3,8,105,98.3,1166,33,533,1250,3.5,7,
655988,1,54,57,3,8,8,8,110,81.7,666,8,833,750,5.5,8,
655988,2,54,50,3,3,4,8,115,95,191,33,199,750,3.5,5.5,
655989,1,54,50,4,6,6,7,95,108.3,499,0,1500,1250,5,6.5,
655989,2,52,50,2,5,4,6,95,85,208,166,700,1250,3,5.5,
655991,1,56,55,3,6,8,8,105,96.7,358,8,1167,1000,5.5,7,
655991,2,54,55,3,3,7,8,110,86.7,1016,82,1000,1500,5,5.5,
655992,1,52,62,5,6,4,7,110,88.3,833,0,699,1500,4.5,6.5,
655992,2,54,55,3,4,7,8,95,93.3,525,25,1333,1500,5,6,
655995,1,61,62,3,6,6,7,150,95,533,0,1000,1000,4.5,6.5,
655995,2,61,59,3,7,5,7,150,106.7,833,0,1500,1500,4,7,
655997,1,61,57,2,5,8,8,95,81.7,833,0,1500,1000,5,6.5,
655997,2,61,62,2,6,6,7,95,81.7,833,0,1333,1000,4,6.5,
655998,1,54,55,4,6,6,7,90,75,833,0,1500,1500,5,6.5,
655998,2,56,55,4,5,2,6,85,78.3,1033,33,516,1500,3,5.5,
656001,1,66,62,2,3,4,6,115,101.7,8,0,533,1250,3,4.5,
656001,2,66,69,2,4,4,4,115,106.7,183,0,191,1000,3,4,
656002,1,56,52,2,6,4,6,95,88.3,533,0,1500,1250,3,6,
656002,2,56,55,1,2,5,6,90,90,33,25,1000,1000,3,4,
656003,1,56,55,2,5,8,8,120,133.3,833,0,833,499,5,6.5,
656003,2,59,57,2,4,6,7,140,135,533,0,1500,1500,4,5.5,
656004,1,63,83,1,4,3,5,100,63.3,675,33,1333,1250,2,4.5,
656004,2,66,78,2,3,1,5,95,58.3,533,0,50,299,1.5,4,
656006,1,63,59,3,7,5,7,90,80,1000,0,1500,499,4,7,
656006,2,61,NA,3,5,NA,NA,95,NA,375,17,NA,NA,3,5,
656007,1,54,62,4,7,7,7,100,78.3,1167,0,1333,499,5.5,7,
656007,2,52,62,2,5,3,6,95,78.3,533,0,66,1500,2.5,5.5,
656008,1,63,62,2,4,5,7,155,100,833,0,1500,1500,3.5,5.5,
656008,2,66,66,1,2,5,6,145,121.7,41,16,1333,1500,3,4,
656009,1,45,66,3,8,2,4,65,85,1000,17,499,499,2.5,6,
656009,2,45,59,4,8,1,2,75,88.3,1000,33,25,74,2.5,5,
656010,1,66,NA,3,7,NA,NA,95,NA,683,0,NA,NA,3,7,
656010,2,63,NA,5,7,NA,NA,95,NA,1500,525,NA,NA,5,7,
656011,1,63,59,3,5,5,6,110,113.3,1333,0,1500,1500,4,5.5,
656011,2,66,69,2,3,5,5,130,113.3,1000,0,1500,1000,3.5,4,
656013,1,56,62,2,5,3,5,200,171.7,208,74,1000,1000,2.5,5,
656013,2,54,59,2,8,8,6,180,146.7,683,33,1333,1250,5,7,
656014,1,59,62,6,8,6,7,125,93.3,666,0,1333,1000,6,7.5,
656014,2,59,NA,4,7,NA,NA,135,NA,1000,0,NA,NA,4,7,
656015,1,66,55,4,8,5,6,165,135,683,0,1333,1500,4.5,7,
656015,2,54,NA,4,6,NA,NA,140,NA,683,82,NA,NA,4,6,
656016,1,59,57,2,4,4,6,95,93.3,399,0,1000,1500,3,5,
656016,2,61,62,2,6,7,6,100,98.3,499,0,1167,750,4.5,6,
656018,1,56,48,5,7,8,8,90,93.3,1000,0,499,499,6.5,7.5,
656018,2,56,57,4,7,8,8,95,83.3,1167,175,1500,1500,6,7.5,
656019,1,49,48,4,8,7,8,115,101.7,1000,0,1500,1250,5.5,8,
656019,2,52,48,5,9,4,5,95,101.7,1000,0,1167,499,4.5,7,
656022,1,56,NA,4,8,NA,NA,105,NA,833,0,NA,NA,4,8,
656022,2,56,NA,2,4,NA,NA,110,NA,1000,0,NA,NA,2,4,
656024,1,66,69,2,7,3,4,155,105,833,508,1333,1250,2.5,5.5,
656024,2,77,69,3,4,4,5,150,111.7,1033,25,1333,1250,3.5,4.5,
656025,1,52,48,3,8,5,7,130,125,58,0,499,299,4,7.5,
656025,2,49,55,2,8,6,5,130,133.3,82,25,699,1500,4,6.5,
656026,1,66,62,2,3,2,4,130,85,183,349,833,1250,2,3.5,
656026,2,63,69,1,3,4,4,125,113.3,25,517,383,1000,2.5,3.5,
656027,1,66,64,2,6,5,5,140,113.3,666,8,1500,1500,3.5,5.5,
656027,2,66,78,2,4,3,7,130,105,232,350,66,1500,2.5,5.5,
656028,1,56,48,4,8,8,8,235,93.3,1000,0,499,750,6,8,
656028,2,54,57,5,5,5,8,220,86.7,699,16,1500,1500,5,6.5,
656030,1,47,45,3,8,7,8,85,82.5,833,0,199,499,5,8,
656030,2,45,48,3,6,5,6,105,63.3,1500,566,1500,1500,4,6,
656031,1,59,52,1,2,2,5,125,138.3,666,8,833,1250,1.5,3.5,
656031,2,59,59,2,3,3,3,130,125,232,25,208,1250,2.5,3,
656032,1,61,NA,4,6,4,7,255,72.5,1500,183,1500,1000,4,6.5,
656032,2,61,69,2,3,7,6,250,178.3,208,1008,1500,1500,4.5,4.5,
656033,1,61,NA,6,8,NA,NA,80,NA,1167,0,NA,NA,6,8,
656033,2,61,64,1,6,7,7,90,60,25,1500,232,750,4,6.5,
656034,1,59,66,3,7,3,4,230,95,699,199,1500,1500,3,5.5,
656034,2,59,78,4,3,2,4,165,111.7,1333,166,25,1000,3,3.5,
656037,1,59,64,2,4,3,6,180,125,666,8,1500,525,2.5,5,
656037,2,56,59,1,3,3,3,170,143.3,1000,8,1000,1500,2,3,
656038,1,61,NA,4,6,8,9,220,88.3,833,8,1000,800,6,7.5,
656038,2,61,76,5,7,9,9,190,185,1500,41,833,299,7,8,
656039,1,61,69,2,5,4,6,160,108.3,666,8,1333,1500,3,5.5,
656039,2,66,69,1,3,5,5,135,100,516,33,1167,1500,3,4,
656040,1,54,55,4,7,4,5,110,73.3,1000,50,208,1500,4,6,
656040,2,59,91,2,4,3,6,90,60,216,533,216,1500,2.5,5,
656041,1,66,NA,2,7,NA,NA,85,NA,833,0,NA,NA,2,7,
656041,2,61,NA,3,7,NA,NA,105,NA,675,1500,NA,NA,3,7,
656042,1,63,52,2,4,3,6,85,81.7,191,0,1000,1500,2.5,5,
656042,2,61,64,2,3,5,4,85,81.7,375,199,1000,1500,3.5,3.5,
656043,1,66,76,1,3,3,4,185,125,666,499,1167,1500,2,3.5,
656043,2,66,76,2,3,2,4,210,171.7,50,1166,99,1500,2,3.5,
656044,1,61,69,2,6,5,6,140,65,700,8,1166,1000,3.5,6,
656044,2,61,85,2,3,3,5,130,95,50,41,1166,1500,2.5,4,
656046,1,54,60,2,7,7,8,120,105,199,0,666,499,4.5,7.5,
656046,2,52,57,2,8,4,5,125,113.3,58,25,533,750,3,6.5,
656047,1,66,66,1,3,3,4,240,203.3,99,366,74,1500,2,3.5,
656047,2,66,78,1,2,4,3,240,236.7,33,0,232,1500,2.5,2.5,
656048,1,63,62,2,5,4,5,105,81.7,349,183,866,1250,3,5,
656048,2,63,69,2,4,3,7,120,75,366,33,82,1500,2.5,5.5,
656049,1,52,50,2,3,,6,130,146.7,17,0,1500,1500,2,4.5,
656049,2,66,55,4,4,3,6,120,128.3,1000,0,216,1500,3.5,5,
656051,1,68,69,2,4,3,6,135,111.7,1333,0,1333,1500,2.5,5,
656051,2,70,78,2,4,2,3,135,118.3,216,58,232,499,2,3.5,
656052,1,59,50,2,3,7,7,70,83.3,375,0,1500,499,4.5,5,
656052,2,52,59,2,2,5,6,75,76.7,1166,74,1500,1500,3.5,4,
656053,1,63,59,1,2,5,6,90,63.3,82,8,1333,1000,3,4,
656053,2,61,64,3,5,5,6,100,66.7,541,25,1167,1000,4,5.5,
656054,1,NA,94,2,3,5,5,375,198.3,375,8,1000,1000,3.5,4,
656054,2,66,95,3,4,3,3,350,210,666,8,82,500,3,3.5,
656055,1,54,69,3,9,3,7,100,75,1167,0,833,750,3,8,
656055,2,59,93.33333333,2,8,5,7,105,69,349,0,232,1500,3.5,7.5,
656056,1,61,64,2,4,2,6,115,108.3,232,0,399,1250,2,5,
656056,2,61,69,1,3,3,5,110,115,33,0,533,1500,2,4,
656057,1,77,NA,1,4,4,6,125,85,33,166,1000,1000,2.5,5,
656057,2,73,85,2,4,5,5,155,105,516,0,1333,1500,3.5,4.5,
656058,1,61,50,1,4,8,8,100,93.3,508,0,1167,1000,4.5,6,
656058,2,56,52,2,3,8,7,95,105,74,33,1500,1500,5,5,
656060,1,54,52,6,8,8,8,105,90,1000,8,1333,1000,7,8,
656060,2,52,49,4,8,1,5,115,91.7,1500,33,25,1500,2.5,6.5,
656065,1,52,62,5,8,5,7,140,115,1167,0,1500,1500,5,7.5,
656065,2,52,NA,4,6,NA,NA,155,NA,549,58,NA,NA,4,6,
656068,1,61,64,2,5,5,6,100,88.3,499,0,1333,1000,3.5,5.5,
656068,2,61,78,2,4,2,5,105,68.3,191,191,82,1000,2,4.5,
656069,1,73,76,3,6,2,3,70,80,666,0,349,1000,2.5,4.5,
656069,2,75,69,2,4,1,4,80,71.7,1000,33,25,1000,1.5,4,
656070,1,66,NA,4,6,NA,NA,80,NA,1167,0,NA,NA,4,6,
656070,2,66,NA,2,4,NA,NA,85,NA,199,349,NA,NA,2,4,
656071,1,66,66,3,6,4,5,95,75,1000,0,1167,1500,3.5,5.5,
656071,2,66,69,3,5,3,6,100,96.7,41,33,533,1000,3,5.5,
656072,1,NA,94,2,5,3,5,85,75,1333,0,82,1500,2.5,5,
656072,2,77,85,2,3,5,3,110,100,366,25,41,74,3.5,3,
656075,1,59,62,2,7,5,6,110,78.3,666,0,1500,1500,3.5,6.5,
656075,2,59,69,2,3,4,4,115,103.3,349,0,1333,1500,3,3.5,
656076,1,59,59,2,7,3,6,80,73.3,232,175,1000,1000,2.5,6.5,
656076,2,63,66,2,3,3,6,75,78.3,541,82,700,1500,2.5,4.5,
656077,1,45,48,4,8,8,8,135,126.7,666,0,1333,1500,6,8,
656077,2,47,50,5,5,6,9,110,110,1166,66,1500,1500,5.5,7,
656079,1,56,69,5,8,3,7,135,106.7,1000,333,833,1000,4,7.5,
656079,2,52,66,4,8,4,7,160,118.3,833,0,1500,1500,4,7.5,
656080,1,47,62,4,8,5,8,115,87,1167,8,1000,1250,4.5,8,
656080,2,59,55,4,7,5,6,100,85,1167,0,1500,1500,4.5,6.5,
656081,1,42,41,2,7,3,6,145,133.3,232,8,541,1000,2.5,6.5,
656081,2,47,41,1,3,3,4,160,141.7,208,33,216,274,2,3.5,
656082,1,56,64,4,7,4,6,110,76.7,1333,0,1500,525,4,6.5,
656082,2,61,62,3,6,5,7,105,65,1016,0,1333,1500,4,6.5,
656083,1,54,NA,2,5,NA,NA,105,NA,33,0,NA,NA,2,5,
656083,2,54,52,3,6,5,5,135,125,508,0,1167,1250,4,5.5,
656085,1,47,57,6,9,3,7,65,75,1167,0,1333,1000,4.5,8,
656085,2,47,64,3,7,5,6,80,66.7,191,25,1166,1500,4,6.5,
656086,1,54,52,3,8,5,8,120,136.7,58,175,1167,550,4,8,
656086,2,54,55,5,8,7,8,125,156.7,675,0,1500,1500,6,8,
656087,1,47,42,5,9,8,8,90,90,191,366,1167,750,6.5,8.5,
656087,2,47,50,2,6,3,4,90,90,349,0,50,1000,2.5,5,
656088,1,59,55,2,5,5,7,95,61.7,1000,0,1500,1000,3.5,6,
656088,2,61,62,7,6,5,6,100,65,1333,0,1000,1250,6,6,
656089,1,49,50,5,8,6,7,115,125,399,0,1167,1000,5.5,7.5,
656089,2,49,49,4,8,5,8,135,100,549,541,1033,1250,4.5,8,
656091,1,NA,NA,5,7,6,7,75,61.7,1167,8,1167,499,5.5,7,
656091,2,70,69,2,4,3,5,90,81.7,499,0,508,750,2.5,4.5,
656093,1,56,62,2,7,4,5,125,103.3,50,0,1333,1000,3,6,
656093,2,54,57,3,4,3,5,120,125,25,33,191,1500,3,4.5,
656095,1,52,59,2,7,4,7,115,100,232,16,667,1500,3,7,
656095,2,52,49,5,8,7,7,120,136.7,1000,0,1500,1500,6,7.5,
656096,1,49,NA,2,6,NA,NA,85,NA,232,0,NA,NA,2,6,
656096,2,54,52,3,5,2,5,105,80,183,25,216,1250,2.5,5,
656097,1,63,NA,2,5,3,5,105,90,833,0,1000,1000,2.5,5,
656097,2,73,78,1,3,2,4,110,91.7,50,49,517,1250,1.5,3.5,
656099,1,73,80,2,5,3,5,175,133.3,699,33,666,750,2.5,5,
656099,2,66,69,2,6,4,4,175,151.7,517,1500,375,1250,3,5,
656100,1,59,62,5,7,7,8,70,56.7,1333,8,349,1250,6,7.5,
656100,2,63,NA,2,3,NA,NA,70,NA,50,208,NA,NA,2,3,
656104,1,47,45,3,9,7,8,75,85,666,0,1167,74,5,8.5,
656104,2,47,51,3,9,7,8,115,93.3,208,25,833,499,5,8.5,
656105,1,49,50,3,7,7,7,55,61.7,216,0,1333,1500,5,7,
656105,2,54,59,1,9,6,6,60,61.7,525,82,1000,750,3.5,7.5,
656106,1,61,66,2,7,3,5,110,85,1000,0,74,1500,2.5,6,
656106,2,61,NA,5,6,NA,NA,100,NA,358,49,NA,NA,5,6,
656108,1,45,48,4,8,7,8,105,73.3,1000,0,1166,750,5.5,8,
656108,2,49,50,4,3,4,6,95,90,833,8,1033,1500,4,4.5,
656109,1,45,45,4,9,8,9,75,75,533,0,232,250,6,9,
656109,2,45,45,4,9,5,8,65,70,541,25,1000,525,4.5,8.5,
656110,1,54,NA,5,9,7,9,65,45,833,0,1333,1250,6,9,
656110,2,56,NA,3,9,NA,NA,70,NA,666,0,NA,NA,3,9,
656111,1,54,NA,5,7,NA,NA,110,NA,1167,0,NA,NA,5,7,
656111,2,56,NA,4,4,NA,NA,115,NA,1166,8,NA,NA,4,4,
656115,1,52,NA,7,9,NA,NA,130,NA,666,0,NA,NA,7,9,
656115,2,52,NA,4,8,NA,NA,125,NA,1033,66,NA,NA,4,8,
656116,1,42,41,4,9,8,8,100,86.7,666,0,1167,74,6,8.5,
656116,2,40,41,2,7,7,8,115,101.7,232,0,666,299,4.5,7.5,
656118,1,56,59,3,7,7,7,105,76.7,833,8,1500,1500,5,7,
656118,2,61,52,3,7,4,5,105,96.7,1333,0,1167,1000,3.5,6,
656121,1,47,48,3,8,4,6,125,116.7,666,0,99,525,3.5,7,
656121,2,47,50,3,7,4,4,135,96.7,25,33,183,299,3.5,5.5,
659692,1,66,NA,2,7,NA,NA,195,NA,666,8,NA,NA,2,7,
659692,2,54,NA,2,6,NA,NA,145,NA,82,33,NA,NA,2,6,
659694,1,66,78,3,7,4,5,100,90,1000,0,1500,1000,3.5,6,
659694,2,63,66,2,4,5,6,105,103.3,99,82,1333,1250,3.5,5,
659695,1,52,55,4,7,7,7,105,105,383,0,1333,1000,5.5,7,
659695,2,54,62,4,7,3,5,105,96.7,1500,0,74,1000,3.5,6,
659753,1,66,76,2,2,3,3,155,153.3,8,0,49,1500,2.5,2.5,
659753,2,77,78,1,3,2,4,150,193.3,341,0,58,750,1.5,3.5,
675167,1,61,64,3,7,4,7,115,86.7,666,0,1500,1250,3.5,7,
675167,2,61,69,2,4,5,6,100,106.7,833,25,366,1500,3.5,5,
Grif 578,1,63,64,4,4,2,5,150,123.3,666,25,549,1500,3,4.5,
Grif 578,2,66,94,4,5,4,6,150,100,1000,0,866,1000,4,5.5,
