"Trait","Marker","Chr","Pos","glm_p","glm_perm_p","farm_RMIP"
"Flowering Time","S1_7584419",1,7584419,0.13733,1,0.09
"Flowering Time","S1_30327933",1,30327933,3.6775e-07,0.139,0.13
"Flowering Time","S1_30462377",1,30462377,3.7199e-07,0.14,0.07
"Flowering Time","S1_75769305",1,75769305,2.0275e-07,0.082,0.05
"Flowering Time","S2_2488178",2,2488178,1.5472e-05,0.945,0.05
"Flowering Time","S3_4423241",3,4423241,1.447e-08,0.009,NA
"Flowering Time","S3_4423302",3,4423302,4.3095e-10,0.001,0.03
"Flowering Time","S3_24142576",3,24142576,0.00028855,1,0.07
"Flowering Time","S3_62675143",3,62675143,8.0832e-08,0.046,0.39
"Flowering Time","S4_4926137",4,4926137,0.00588,1,0.13
"Flowering Time","S6_40987299",6,40987299,0.04694,1,0.24
"Flowering Time","S6_47774370",6,47774370,2.4914e-07,0.097,0.09
"Flowering Time","S6_50581550",6,50581550,1.2875e-07,0.062,0.08
"Flowering Time","S6_50582469",6,50582469,6.328e-07,0.201,0.16
"Flowering Time","S7_2559101",7,2559101,1.038e-07,0.052,0.15
"Flowering Time","S7_39614932",7,39614932,2.5211e-05,0.982,0.08
"Flowering Time","S8_39703004",8,39703004,0.08319,1,0.05
"Flowering Time","S9_57894247",9,57894247,2.6852e-06,0.514,0.12
"Flowering Time","S9_57899689",9,57899689,1.9854e-06,0.433,0.25
"Greenhouse Damage","S7_2494675",7,2494675,1.5463e-07,1,0.09
"Plant Height (log)","S1_77830606",1,77830606,5.2168e-06,1,0.14
"Plant Height (log)","S1_78291738",1,78291738,2.8101e-05,1,0.08
"Plant Height (log)","S2_6406243",2,6406243,0.0844,1,0.11
"Plant Height (log)","S3_71925075",3,71925075,0.91882,1,0.08
"Plant Height (log)","S6_41220100",6,41220100,2.2893e-10,0.008,0.07
"Plant Height (log)","S6_41901439",6,41901439,2.4192e-10,0.01,NA
"Plant Height (log)","S6_41901455",6,41901455,2.4192e-10,0.01,NA
"Plant Height (log)","S6_43670583",6,43670583,1.6974e-09,0.042,0.32
"Plant Height (log)","S7_59614079",7,59614079,0.00029906,1,0.21
"Plant Height (log)","S8_45638928",8,45638928,4.2883e-06,1,0.11
"Plant Height (log)","S9_56243634",9,56243634,1.1867e-11,0.001,NA
"Plant Height (log)","S9_56243635",9,56243635,1.1867e-11,0.001,NA
"Plant Height (log)","S9_56243636",9,56243636,1.1867e-11,0.001,NA
"Plant Height (log)","S9_56273969",9,56273969,9.49e-12,0.001,NA
"Plant Height (log)","S9_56322097",9,56322097,5.7792e-12,0.001,NA
"Plant Height (log)","S9_56374899",9,56374899,4.1581e-12,0.001,0.01
"Plant Height (log)","S9_56389188",9,56389188,9.074e-12,0.001,NA
"Plant Height (log)","S9_56469772",9,56469772,9.1584e-11,0.004,NA
"Plant Height (log)","S9_56472283",9,56472283,4.1767e-11,0.004,NA
"Plant Height (log)","S9_56475854",9,56475854,2.8596e-10,0.01,NA
"Plant Height (log)","S9_56475857",9,56475857,5.3026e-11,0.004,NA
"Plant Height (log)","S9_56478390",9,56478390,2.8029e-10,0.01,NA
"Plant Height (log)","S9_56482848",9,56482848,1.4556e-10,0.005,NA
"Plant Height (log)","S9_56520725",9,56520725,3.4671e-11,0.004,NA
"Plant Height (log)","S9_56521004",9,56521004,4.8818e-11,0.004,NA
"Plant Height (log)","S9_56521102",9,56521102,6.4722e-11,0.004,NA
"Plant Height (log)","S9_56521857",9,56521857,8.5712e-12,0.001,NA
"Plant Height (log)","S9_56524133",9,56524133,2.4254e-11,0.002,NA
"Plant Height (log)","S9_56530072",9,56530072,7.0477e-11,0.004,NA
"Plant Height (log)","S9_56705459",9,56705459,7.0644e-13,0.001,NA
"Plant Height (log)","S9_56715113",9,56715113,5.2945e-13,0.001,NA
"Plant Height (log)","S9_56747495",9,56747495,3.1179e-10,0.01,NA
"Plant Height (log)","S9_56765653",9,56765653,1.3892e-10,0.005,NA
"Plant Height (log)","S9_57004218",9,57004218,2.7897e-13,0.001,0.05
"Plant Height (log)","S9_57051085",9,57051085,3.2805e-14,0.001,0.01
"Plant Height (log)","S9_57060473",9,57060473,4.387e-15,0.001,0.13
"Plant Height (log)","S9_57065264",9,57065264,1.3318e-14,0.001,0.04
"Plant Height (log)","S9_57065277",9,57065277,4.3369e-15,0.001,0.22
"Plant Height (log)","S9_57068526",9,57068526,1.5975e-11,0.002,NA
"Plant Height (log)","S9_57068567",9,57068567,1.5974e-11,0.002,NA
"Plant Height (log)","S9_57068940",9,57068940,5.0618e-15,0.001,NA
"Plant Height (log)","S9_57069122",9,57069122,5.0618e-15,0.001,NA
"Plant Height (log)","S9_57100868",9,57100868,9.7932e-13,0.001,NA
"Plant Height (log)","S9_57109951",9,57109951,2.2397e-11,0.002,NA
"Plant Height (log)","S9_57152651",9,57152651,3.5496e-11,0.004,NA
"Plant Height (log)","S9_57152709",9,57152709,8.9781e-12,0.001,NA
"Plant Height (log)","S9_57172609",9,57172609,1.4135e-15,0.001,0.48
"Plant Height (log)","S9_57178940",9,57178940,1.2741e-10,0.005,NA
"Plant Height (log)","S9_57188757",9,57188757,2.5106e-11,0.002,NA
"Plant Height (log)","S9_57212498",9,57212498,1.2711e-13,0.001,NA
"Plant Height (log)","S9_57323641",9,57323641,1.6476e-12,0.001,NA
"Plant Height (log)","S9_57324019",9,57324019,1.6072e-15,0.001,NA
"Plant Height (log)","S9_57332127",9,57332127,2.7016e-10,0.01,NA
"Plant Height (log)","S9_57332128",9,57332128,2.7016e-10,0.01,NA
"Plant Height (log)","S9_57332139",9,57332139,2.7016e-10,0.01,NA
"Plant Height (log)","S9_57434537",9,57434537,1.0066e-10,0.004,NA
"Plant Height (log)","S9_57434603",9,57434603,2.3906e-10,0.009,NA
"Plant Height (log)","S9_57434803",9,57434803,2.3989e-10,0.01,NA
"Plant Height (log)","S9_57434819",9,57434819,2.3989e-10,0.01,NA
"Plant Height (log)","S9_57434878",9,57434878,4.0098e-11,0.004,NA
"Plant Height (log)","S9_57517028",9,57517028,8.4302e-11,0.004,NA
"Plant Height (log)","S9_57525342",9,57525342,2.3358e-10,0.008,NA
"Plant Height (log)","S9_57525344",9,57525344,2.3358e-10,0.008,NA
"Plant Height (log)","S9_57611406",9,57611406,7.2739e-14,0.001,0.02
"Plant Height (log)","S9_57611460",9,57611460,2.0613e-13,0.001,0.01
"Plant Height (log)","S9_57641925",9,57641925,1.0874e-10,0.005,NA
"Plant Height (log)","S9_57657316",9,57657316,8.2201e-11,0.004,NA
"Plant Height (log)","S9_57657554",9,57657554,3.2594e-12,0.001,NA
"Plant Height (log)","S9_57657830",9,57657830,1.1961e-11,0.001,0.01
"Plant Height (log)","S9_57687969",9,57687969,1.0478e-11,0.001,NA
"Plant Height (log)","S9_57698392",9,57698392,1.9762e-12,0.001,NA
"Plant Height (log)","S9_57708044",9,57708044,4.6878e-11,0.004,NA
"Plant Height (log)","S9_57710230",9,57710230,1.6927e-11,0.002,NA
"Plant Height (log)","S9_57804067",9,57804067,2.6232e-10,0.01,NA
"Plant Height (log)","S9_57914426",9,57914426,7.4101e-11,0.004,NA
"Plant Height (log)","S9_57925883",9,57925883,2.9885e-10,0.01,NA
"Plant Height (log)","S9_57929565",9,57929565,3.1037e-10,0.01,NA
"Plant Height (log)","S9_58070623",9,58070623,8.7741e-11,0.004,NA
"Plant Height (log)","S9_58070798",9,58070798,1.6076e-10,0.005,NA
"Plant Height (log)","S9_58170510",9,58170510,5.3578e-12,0.001,NA
"Plant Height (log)","S9_58198140",9,58198140,1.4138e-11,0.002,NA
"Plant Height (log)","S9_58259988",9,58259988,5.6297e-11,0.004,NA
"Plant Height (log)","S9_58432671",9,58432671,2.2927e-13,0.001,NA
"Plant Height (log)","S9_58438313",9,58438313,1.1391e-10,0.005,NA
"Plant Height (log)","S9_58438314",9,58438314,1.1391e-10,0.005,NA
"D1 Aphid Damage (log)","S2_3203597",2,3203597,4.6065e-05,1,0.06
"D1 Aphid Damage (log)","S4_59580888",4,59580888,4.4715e-07,0.264,0.07
"D1 Aphid Damage (log)","S5_66623662",5,66623662,0.01409,1,0.06
"D1 Aphid Damage (log)","S6_334458",6,334458,0.00041406,1,0.13
"D1 Aphid Damage (log)","S7_19191457",7,19191457,0.00016694,1,0.06
"D1 Aphid Damage (log)","S7_56661119",7,56661119,7.6874e-06,0.895,0.07
"D1 Aphid Damage (log)","S8_11408106",8,11408106,3.747e-06,0.752,0.08
"D1 Aphid Damage (log)","S10_8350074",10,8350074,0.00017581,1,0.05
"D1 Aphid Damage (log)","S10_15424451",10,15424451,7.2015e-08,0.083,0.1
"D1 Aphid Count (log)","S1_69943445",1,69943445,2.8366e-06,1,0.05
"D1 Aphid Count (log)","S2_12734125",2,12734125,1.2161e-05,1,0.05
"D1 Aphid Count (log)","S6_179752",6,179752,1.2865e-05,1,0.35
"D1 Aphid Count (log)","S7_2888228",7,2888228,2.0487e-06,1,0.19
"D1 Aphid Count (log)","S7_58778565",7,58778565,1.9668e-05,1,0.05
"D1 Aphid Count (log)","S7_58839694",7,58839694,1.3944e-05,1,0.18
"D1 Aphid Count (log)","S8_11781182",8,11781182,1.2458e-07,0.993,0.41
"D1 Aphid Count (log)","S9_1531143",9,1531143,5.2411e-07,1,0.05
"D1 Aphid Count (log)","S9_1612388",9,1612388,4.4971e-07,1,0.16
"D1 Aphid Count (log)","S9_41572616",9,41572616,3.4428e-06,1,0.12
"D1 Aphid Count (log)","S10_2507813",10,2507813,0.01131,1,0.08
"D2 Aphid Damage (log)","S1_14448039",1,14448039,1.3928e-10,0.002,0.02
"D2 Aphid Damage (log)","S1_61018734",1,61018734,5.5779e-10,0.002,NA
"D2 Aphid Damage (log)","S3_11473429",3,11473429,5.6941e-08,0.07,0.1
"D2 Aphid Damage (log)","S5_579450",5,579450,1.8505e-06,0.555,0.05
"D2 Aphid Damage (log)","S5_17668747",5,17668747,4.4555e-05,1,0.12
"D2 Aphid Damage (log)","S5_59027842",5,59027842,0.00964,1,0.05
"D2 Aphid Damage (log)","S6_3050581",6,3050581,8.5304e-10,0.004,NA
"D2 Aphid Damage (log)","S6_5952983",6,5952983,0.0032,1,0.05
"D2 Aphid Damage (log)","S6_53836196",6,53836196,2.1328e-07,0.171,0.11
"D2 Aphid Damage (log)","S7_5475915",7,5475915,1.6085e-09,0.005,NA
"D2 Aphid Damage (log)","S7_5659173",7,5659173,3.7813e-09,0.009,0.01
"D2 Aphid Damage (log)","S7_6208175",7,6208175,3.095e-08,0.047,0.23
"D2 Aphid Damage (log)","S8_11781182",8,11781182,2.4975e-09,0.008,0.45
"D2 Aphid Damage (log)","S8_53938888",8,53938888,0.00097838,1,0.11
"D2 Aphid Damage (log)","S9_49705844",9,49705844,3.6677e-07,0.236,0.11
"D2 Aphid Damage (log)","S9_56657642",9,56657642,0.0063,1,0.06
"D2 Aphid Damage (log)","S9_56678671",9,56678671,0.01974,1,0.18
"D2 Aphid Damage (log)","S10_2507813",10,2507813,0.04178,1,0.05
"D2 Aphid Damage (log)","S10_57134221",10,57134221,7.6039e-07,0.349,0.22
"NDRE","S1_5101469",1,5101469,0.00274,1,0.08
"NDRE","S1_69017297",1,69017297,6.7008e-05,1,0.12
"NDRE","S2_58508219",2,58508219,0.0226,1,0.07
"NDRE","S2_61431704",2,61431704,2.343e-08,0.332,0.31
"NDRE","S3_19558428",3,19558428,2.9572e-06,0.976,0.4
"NDRE","S3_19929613",3,19929613,6.3782e-06,0.999,0.06
"NDRE","S3_69633709",3,69633709,8.5349e-06,1,0.09
"NDRE","S5_3230535",5,3230535,0.00076722,1,0.08
"NDRE","S5_18325038",5,18325038,8.0588e-07,0.877,0.13
"NDRE","S5_63115742",5,63115742,3.7001e-06,0.985,0.17
"NDRE","S5_63115845",5,63115845,4.492e-06,0.991,0.25
"NDRE","S6_32034639",6,32034639,0.00349,1,0.08
"NDRE","S6_58686833",6,58686833,5.069e-05,1,0.29
"NDRE","S6_60922873",6,60922873,1.1556e-05,1,0.21
"NDRE","S7_638972",7,638972,1.2627e-06,0.919,0.27
"NDRE","S8_39703090",8,39703090,0.00953,1,0.07
"NDRE","S8_59192389",8,59192389,0.16515,1,0.21
"NDRE","S8_60394416",8,60394416,0.31289,1,0.15
"NDRE","S10_682016",10,682016,1.7435e-07,0.65,0.1
"NDRE","S10_21966301",10,21966301,0.0003022,1,0.07
"NDRE (flowering covariate)","S1_5101469",1,5101469,0.0061,1,0.09
"NDRE (flowering covariate)","S2_61431704",2,61431704,8.7385e-07,0.634,0.05
"NDRE (flowering covariate)","S5_4781295",5,4781295,1.3313e-06,0.747,0.15
"NDRE (flowering covariate)","S6_799609",6,799609,1.275e-05,0.989,0.11
"NDRE (flowering covariate)","S6_58686833",6,58686833,2.5645e-05,1,0.06
"NDRE (flowering covariate)","S6_60922873",6,60922873,9.2584e-07,0.657,0.13
"NDVI","S1_7442679",1,7442679,1.495e-06,0.938,0.11
"NDVI","S1_53884564",1,53884564,1.3262e-05,1,0.07
"NDVI","S2_887719",2,887719,0.01886,1,0.05
"NDVI","S2_61431704",2,61431704,1.7544e-07,0.65,0.19
"NDVI","S3_19558428",3,19558428,1.1298e-06,0.91,0.29
"NDVI","S5_3282948",5,3282948,1.2324e-05,1,0.06
"NDVI","S5_63115845",5,63115845,1.3373e-05,1,0.11
"NDVI","S6_3383155",6,3383155,4.6421e-07,0.805,0.23
"SAVI","S9_3054933",9,3054933,2.2064e-06,0.969,0.08
"SAVI (flowering covariate)","S9_3054933",9,3054933,3.6411e-05,1,0.05
